asset,curr,gran,high,rfc3339
BTC,EUR,Hour,32383.89,2021-01-07T22:00:00Z
BTC,EUR,Hour,32225.78,2021-01-07T23:00:00Z
BTC,EUR,Hour,32125.91,2021-01-08T00:00:00Z
BTC,EUR,Hour,31676.39,2021-01-08T01:00:00Z
BTC,EUR,Hour,31483.65,2021-01-08T02:00:00Z
BTC,EUR,Hour,30548.65,2021-01-08T03:00:00Z
BTC,EUR,Hour,31236.45,2021-01-08T04:00:00Z
BTC,EUR,Hour,31499.9,2021-01-08T05:00:00Z
BTC,EUR,Hour,31046.18,2021-01-08T06:00:00Z
BTC,EUR,Hour,31419.06,2021-01-08T07:00:00Z
BTC,EUR,Hour,31900.0,2021-01-08T08:00:00Z
BTC,EUR,Hour,31770.0,2021-01-08T09:00:00Z
BTC,EUR,Hour,32224.62,2021-01-08T10:00:00Z
BTC,EUR,Hour,33368.0,2021-01-08T11:00:00Z
BTC,EUR,Hour,33800.0,2021-01-08T12:00:00Z
BTC,EUR,Hour,33820.0,2021-01-08T13:00:00Z
BTC,EUR,Hour,33891.42,2021-01-08T14:00:00Z
BTC,EUR,Hour,34000.53,2021-01-08T15:00:00Z
BTC,EUR,Hour,33600.0,2021-01-08T16:00:00Z
BTC,EUR,Hour,33837.01,2021-01-08T17:00:00Z
BTC,EUR,Hour,33686.66,2021-01-08T18:00:00Z
BTC,EUR,Hour,33037.81,2021-01-08T19:00:00Z
BTC,EUR,Hour,33133.86,2021-01-08T20:00:00Z
BTC,EUR,Hour,31985.88,2021-01-08T21:00:00Z
BTC,EUR,Hour,32798.99,2021-01-08T22:00:00Z
BTC,EUR,Hour,33157.23,2021-01-08T23:00:00Z
BTC,EUR,Hour,33118.79,2021-01-09T00:00:00Z
BTC,EUR,Hour,32788.97,2021-01-09T01:00:00Z
BTC,EUR,Hour,32840.66,2021-01-09T02:00:00Z
BTC,EUR,Hour,32561.39,2021-01-09T03:00:00Z
BTC,EUR,Hour,32758.09,2021-01-09T04:00:00Z
BTC,EUR,Hour,32758.87,2021-01-09T05:00:00Z
BTC,EUR,Hour,32106.86,2021-01-09T06:00:00Z
BTC,EUR,Hour,31850.0,2021-01-09T07:00:00Z
BTC,EUR,Hour,32420.7,2021-01-09T08:00:00Z
BTC,EUR,Hour,32929.98,2021-01-09T09:00:00Z
BTC,EUR,Hour,33097.83,2021-01-09T10:00:00Z
BTC,EUR,Hour,32999.72,2021-01-09T11:00:00Z
BTC,EUR,Hour,33177.99,2021-01-09T12:00:00Z
BTC,EUR,Hour,33336.3,2021-01-09T13:00:00Z
BTC,EUR,Hour,33494.65,2021-01-09T14:00:00Z
BTC,EUR,Hour,33413.7,2021-01-09T15:00:00Z
BTC,EUR,Hour,33197.09,2021-01-09T16:00:00Z
BTC,EUR,Hour,32758.11,2021-01-09T17:00:00Z
BTC,EUR,Hour,33027.14,2021-01-09T18:00:00Z
BTC,EUR,Hour,33107.77,2021-01-09T19:00:00Z
BTC,EUR,Hour,33103.33,2021-01-09T20:00:00Z
BTC,EUR,Hour,32953.81,2021-01-09T21:00:00Z
BTC,EUR,Hour,32983.73,2021-01-09T22:00:00Z
BTC,EUR,Hour,32479.78,2021-01-09T23:00:00Z
BTC,EUR,Hour,32249.71,2021-01-10T00:00:00Z
BTC,EUR,Hour,32600.0,2021-01-10T01:00:00Z
BTC,EUR,Hour,32690.9,2021-01-10T02:00:00Z
BTC,EUR,Hour,32620.89,2021-01-10T03:00:00Z
BTC,EUR,Hour,32335.36,2021-01-10T04:00:00Z
BTC,EUR,Hour,32273.4,2021-01-10T05:00:00Z
BTC,EUR,Hour,32315.93,2021-01-10T06:00:00Z
BTC,EUR,Hour,32699.03,2021-01-10T07:00:00Z
BTC,EUR,Hour,32847.09,2021-01-10T08:00:00Z
BTC,EUR,Hour,32766.25,2021-01-10T09:00:00Z
BTC,EUR,Hour,32848.96,2021-01-10T10:00:00Z
BTC,EUR,Hour,32648.03,2021-01-10T11:00:00Z
BTC,EUR,Hour,31910.39,2021-01-10T12:00:00Z
BTC,EUR,Hour,32033.31,2021-01-10T13:00:00Z
BTC,EUR,Hour,32230.9,2021-01-10T14:00:00Z
BTC,EUR,Hour,32072.8,2021-01-10T15:00:00Z
BTC,EUR,Hour,31982.95,2021-01-10T16:00:00Z
BTC,EUR,Hour,31875.67,2021-01-10T17:00:00Z
BTC,EUR,Hour,31352.83,2021-01-10T18:00:00Z
BTC,EUR,Hour,30650.0,2021-01-10T19:00:00Z
BTC,EUR,Hour,30500.0,2021-01-10T20:00:00Z
BTC,EUR,Hour,30541.37,2021-01-10T21:00:00Z
BTC,EUR,Hour,30743.74,2021-01-10T22:00:00Z
