,asset,curr,gran,high,date
800,ETH,EUR,Week,151.97241821289063,2020-01-20
807,ETH,EUR,Week,156.32538970947266,2020-01-27
814,ETH,EUR,Week,175.50176727294922,2020-02-03
821,ETH,EUR,Week,209.14317321777344,2020-02-10
828,ETH,EUR,Week,246.62398529052734,2020-02-17
835,ETH,EUR,Week,255.3174935913086,2020-02-24
842,ETH,EUR,Week,209.6103942871094,2020-03-02
849,ETH,EUR,Week,183.24725433349607,2020-03-09
856,ETH,EUR,Week,112.40675842285157,2020-03-16
863,ETH,EUR,Week,127.08698455810547,2020-03-23
870,ETH,EUR,Week,123.21753692626953,2020-03-30
877,ETH,EUR,Week,158.09901641845704,2020-04-06
884,ETH,EUR,Week,147.53360260009765,2020-04-13
891,ETH,EUR,Week,171.71824798583984,2020-04-20
898,ETH,EUR,Week,184.9091229248047,2020-04-27
905,ETH,EUR,Week,192.99684387207031,2020-05-04
912,ETH,EUR,Week,178.28004241943358,2020-05-11
919,ETH,EUR,Week,200.26385498046875,2020-05-18
926,ETH,EUR,Week,190.69138275146486,2020-05-25
933,ETH,EUR,Week,224.01878356933594,2020-06-01
940,ETH,EUR,Week,219.32435760498046,2020-06-08
947,ETH,EUR,Week,207.59667449951172,2020-06-15
954,ETH,EUR,Week,217.76179626464844,2020-06-22
961,ETH,EUR,Week,205.23352966308593,2020-06-29
968,ETH,EUR,Week,214.3995083618164,2020-07-06
975,ETH,EUR,Week,216.8207550048828,2020-07-13
982,ETH,EUR,Week,210.00779571533204,2020-07-20
989,ETH,EUR,Week,281.2222534179688,2020-07-27
996,ETH,EUR,Week,338.8556164550781,2020-08-03
1003,ETH,EUR,Week,339.6666717529297,2020-08-10
1010,ETH,EUR,Week,375.2896887207031,2020-08-17
1017,ETH,EUR,Week,348.4112268066406,2020-08-24
1024,ETH,EUR,Week,368.8113708496094,2020-08-31
1031,ETH,EUR,Week,303.4682342529297,2020-09-07
1038,ETH,EUR,Week,324.52348266601564,2020-09-14
1045,ETH,EUR,Week,317.9459405517578,2020-09-21
1052,ETH,EUR,Week,315.58812805175785,2020-09-28
1059,ETH,EUR,Week,303.6014685058594,2020-10-05
1066,ETH,EUR,Week,334.73130798339844,2020-10-12
1073,ETH,EUR,Week,325.74405395507813,2020-10-19
1080,ETH,EUR,Week,347.9707891845703,2020-10-26
1087,ETH,EUR,Week,347.07884094238284,2020-11-02
1094,ETH,EUR,Week,385.56940002441405,2020-11-09
1101,ETH,EUR,Week,392.7291064453125,2020-11-16
1108,ETH,EUR,Week,516.4344616699218,2020-11-23
1115,ETH,EUR,Week,515.3064880371094,2020-11-30
1122,ETH,EUR,Week,498.63287048339845,2020-12-07
1129,ETH,EUR,Week,487.2301330566406,2020-12-14
1136,ETH,EUR,Week,531.7174255371094,2020-12-21
1143,ETH,EUR,Week,612.047255859375,2020-12-28
1150,ETH,EUR,Week,924.0986303710938,2021-01-04
1157,ETH,EUR,Week,1027.1860131835938,2021-01-11
1164,ETH,EUR,Week,1043.2375659179688,2021-01-18
